,Party,2019,2014,%2019,%2014,municipality
22,PIRATE,-,64,-,"0,46%",Chaudfontaine
23,FW,-,34,-,"0,24%",Chaudfontaine
24,PP PARTIPENSIONNES,-,92,-,"0,66%",Chaudfontaine
25,R.W.F.,-,30,-,"0,22%",Chaudfontaine
26,CIM,-,6,-,"0,04%",Chaudfontaine
27,ISLAM,-,22,-,"0,16%",Chaudfontaine
0,ECOLO,1.074,619,"11,56%","6,33%",Fleron
1,CDH,997,1.418,"10,73%","14,50%",Fleron
2,MR,1.467,2.017,"15,79%","20,63%",Fleron
3,PARTI POPULAIRE,410,596,"4,41%","6,10%",Fleron
4,VLAAMS BELANG,49,-,"0,53%",-,Fleron
5,DéFI,350,-,"3,77%",-,Fleron
6,FDF,-,174,-,"1,78%",Fleron
7,PTB,1.681,-,"18,10%",-,Fleron
8,PTB-GO !,-,765,-,"7,82%",Fleron
9,LISTES DESTEXHE,147,-,"1,58%",-,Fleron
10,PS,2.588,3.319,"27,86%","33,95%",Fleron
11,DierAnimal,145,-,"1,56%",-,Fleron
12,LA DROITE,52,149,"0,56%","1,52%",Fleron
13,LES BELGES D'ABORD,148,-,"1,59%",-,Fleron
14,NATION,27,47,"0,29%","0,48%",Fleron
15,WALLONIE INSOUMISE,68,-,"0,73%",-,Fleron
16,Collectif Citoyen,86,-,"0,93%",-,Fleron
17,MG,-,16,-,"0,16%",Fleron
18,Debout les Belges,-,172,-,"1,76%",Fleron
19,VLC,-,15,-,"0,15%",Fleron
20,B.U.B.-BELG.UNIE,-,25,-,"0,26%",Fleron
21,WALLONIE D'ABORD,-,124,-,"1,27%",Fleron
22,PIRATE,-,45,-,"0,46%",Fleron
23,FW,-,22,-,"0,23%",Fleron
24,PP PARTIPENSIONNES,-,75,-,"0,77%",Fleron
25,R.W.F.,-,24,-,"0,25%",Fleron
26,CIM,-,4,-,"0,04%",Fleron
27,ISLAM,-,151,-,"1,54%",Fleron
0,ECOLO,1.298,677,"12,89%","6,66%",Soumagne
1,CDH,825,1.465,"8,19%","14,40%",Soumagne
2,MR,2.191,2.483,"21,75%","24,41%",Soumagne
3,PARTI POPULAIRE,432,613,"4,29%","6,03%",Soumagne
4,VLAAMS BELANG,56,-,"0,56%",-,Soumagne
5,DéFI,367,-,"3,64%",-,Soumagne
6,FDF,-,197,-,"1,94%",Soumagne
7,PTB,1.683,-,"16,71%",-,Soumagne
8,PTB-GO !,-,728,-,"7,16%",Soumagne
9,LISTES DESTEXHE,155,-,"1,54%",-,Soumagne
10,PS,2.442,3.255,"24,25%","32,00%",Soumagne
11,DierAnimal,151,-,"1,50%",-,Soumagne
12,LA DROITE,63,175,"0,63%","1,72%",Soumagne
13,LES BELGES D'ABORD,189,-,"1,88%",-,Soumagne
14,NATION,42,35,"0,42%","0,34%",Soumagne
15,WALLONIE INSOUMISE,58,-,"0,58%",-,Soumagne
16,Collectif Citoyen,120,-,"1,19%",-,Soumagne
17,MG,-,10,-,"0,10%",Soumagne
18,Debout les Belges,-,190,-,"1,87%",Soumagne
19,VLC,-,28,-,"0,28%",Soumagne
20,B.U.B.-BELG.UNIE,-,10,-,"0,10%",Soumagne
21,WALLONIE D'ABORD,-,126,-,"1,24%",Soumagne
22,PIRATE,-,51,-,"0,50%",Soumagne
23,FW,-,11,-,"0,11%",Soumagne
24,PP PARTIPENSIONNES,-,50,-,"0,49%",Soumagne
25,R.W.F.,-,25,-,"0,25%",Soumagne
26,CIM,-,0,-,"0,00%",Soumagne
27,ISLAM,-,43,-,"0,42%",Soumagne
0,ECOLO,829,460,"17,08%","9,20%",Trooz
1,CDH,255,476,"5,25%","9,52%",Trooz
2,MR,962,1.322,"19,81%","26,43%",Trooz
3,PARTI POPULAIRE,199,324,"4,10%","6,48%",Trooz
4,VLAAMS BELANG,14,-,"0,29%",-,Trooz
5,DéFI,189,-,"3,89%",-,Trooz
6,FDF,-,111,-,"2,22%",Trooz
7,PTB,819,-,"16,87%",-,Trooz
8,PTB-GO !,-,385,-,"7,70%",Trooz
9,LISTES DESTEXHE,124,-,"2,55%",-,Trooz
10,PS,1.138,1.466,"23,44%","29,31%",Trooz
11,DierAnimal,92,-,"1,89%",-,Trooz
12,LA DROITE,37,71,"0,76%","1,42%",Trooz
13,LES BELGES D'ABORD,78,-,"1,61%",-,Trooz
14,NATION,15,23,"0,31%","0,46%",Trooz
15,WALLONIE INSOUMISE,32,-,"0,66%",-,Trooz
16,Collectif Citoyen,72,-,"1,48%",-,Trooz
17,MG,-,16,-,"0,32%",Trooz
18,Debout les Belges,-,80,-,"1,60%",Trooz
19,VLC,-,75,-,"1,50%",Trooz
20,B.U.B.-BELG.UNIE,-,16,-,"0,32%",Trooz
21,WALLONIE D'ABORD,-,63,-,"1,26%",Trooz
22,PIRATE,-,35,-,"0,70%",Trooz
23,FW,-,13,-,"0,26%",Trooz
24,PP PARTIPENSIONNES,-,31,-,"0,62%",Trooz
25,R.W.F.,-,23,-,"0,46%",Trooz
26,CIM,-,1,-,"0,02%",Trooz
27,ISLAM,-,10,-,"0,20%",Trooz
0,ECOLO,573,347,"10,44%","6,07%",Awans
1,CDH,344,655,"6,27%","11,45%",Awans
2,MR,1.088,1.666,"19,82%","29,13%",Awans
3,PARTI POPULAIRE,186,331,"3,39%","5,79%",Awans
4,VLAAMS BELANG,22,-,"0,40%",-,Awans
5,DéFI,226,-,"4,12%",-,Awans
6,FDF,-,134,-,"2,34%",Awans
7,PTB,986,-,"17,96%",-,Awans
8,PTB-GO !,-,448,-,"7,83%",Awans
9,LISTES DESTEXHE,81,-,"1,48%",-,Awans
10,PS,1.706,1.821,"31,08%","31,84%",Awans
11,DierAnimal,46,-,"0,84%",-,Awans
12,LA DROITE,27,68,"0,49%","1,19%",Awans
13,LES BELGES D'ABORD,96,-,"1,75%",-,Awans
14,NATION,16,16,"0,29%","0,28%",Awans
15,WALLONIE INSOUMISE,40,-,"0,73%",-,Awans
16,Collectif Citoyen,52,-,"0,95%",-,Awans
17,MG,-,5,-,"0,09%",Awans
18,Debout les Belges,-,72,-,"1,26%",Awans
19,VLC,-,7,-,"0,12%",Awans
20,B.U.B.-BELG.UNIE,-,5,-,"0,09%",Awans
21,WALLONIE D'ABORD,-,64,-,"1,12%",Awans
22,PIRATE,-,31,-,"0,54%",Awans
23,FW,-,8,-,"0,14%",Awans
24,PP PARTIPENSIONNES,-,19,-,"0,33%",Awans
25,R.W.F.,-,10,-,"0,17%",Awans
26,CIM,-,2,-,"0,03%",Awans
27,ISLAM,-,10,-,"0,17%",Awans
0,ECOLO,1.339,1.105,"10,20%","7,21%",Flemalle
1,CDH,529,1.312,"4,03%","8,56%",Flemalle
2,MR,1.210,2.086,"9,22%","13,61%",Flemalle
3,PARTI POPULAIRE,551,897,"4,20%","5,85%",Flemalle
4,VLAAMS BELANG,81,-,"0,62%",-,Flemalle
5,DéFI,417,-,"3,18%",-,Flemalle
6,FDF,-,353,-,"2,30%",Flemalle
7,PTB,3.094,-,"23,57%",-,Flemalle
8,PTB-GO !,-,1.887,-,"12,31%",Flemalle
9,LISTES DESTEXHE,189,-,"1,44%",-,Flemalle
10,PS,4.772,6.311,"36,36%","41,17%",Flemalle
11,DierAnimal,203,-,"1,55%",-,Flemalle
12,LA DROITE,83,287,"0,63%","1,87%",Flemalle
13,LES BELGES D'ABORD,351,-,"2,67%",-,Flemalle
14,NATION,75,69,"0,57%","0,45%",Flemalle
15,WALLONIE INSOUMISE,99,-,"0,75%",-,Flemalle
16,Collectif Citoyen,132,-,"1,01%",-,Flemalle
17,MG,-,90,-,"0,59%",Flemalle
18,Debout les Belges,-,343,-,"2,24%",Flemalle
19,VLC,-,23,-,"0,15%",Flemalle
20,B.U.B.-BELG.UNIE,-,22,-,"0,14%",Flemalle
21,WALLONIE D'ABORD,-,279,-,"1,82%",Flemalle
22,PIRATE,-,74,-,"0,48%",Flemalle
23,FW,-,30,-,"0,20%",Flemalle
24,PP PARTIPENSIONNES,-,74,-,"0,48%",Flemalle
25,R.W.F.,-,33,-,"0,22%",Flemalle
26,CIM,-,13,-,"0,08%",Flemalle
27,ISLAM,-,42,-,"0,27%",Flemalle
0,ECOLO,1.395,700,"10,34%","5,86%",Grace-Hollogne
1,CDH,696,1.127,"5,16%","9,43%",Grace-Hollogne
2,MR,1.587,1.858,"11,76%","15,55%",Grace-Hollogne
3,PARTI POPULAIRE,543,745,"4,02%","6,23%",Grace-Hollogne
4,VLAAMS BELANG,83,-,"0,61%",-,Grace-Hollogne
5,DéFI,423,-,"3,13%",-,Grace-Hollogne
6,FDF,-,279,-,"2,33%",Grace-Hollogne
7,PTB,3.095,-,"22,93%",-,Grace-Hollogne
8,PTB-GO !,-,1.526,-,"12,77%",Grace-Hollogne
9,LISTES DESTEXHE,209,-,"1,55%",-,Grace-Hollogne
10,PS,4.606,4.638,"34,13%","38,81%",Grace-Hollogne
11,DierAnimal,187,-,"1,39%",-,Grace-Hollogne
12,LA DROITE,92,216,"0,68%","1,81%",Grace-Hollogne
13,LES BELGES D'ABORD,291,-,"2,16%",-,Grace-Hollogne
14,NATION,58,56,"0,43%","0,47%",Grace-Hollogne
15,WALLONIE INSOUMISE,70,-,"0,52%",-,Grace-Hollogne
16,Collectif Citoyen,161,-,"1,19%",-,Grace-Hollogne
17,MG,-,18,-,"0,15%",Grace-Hollogne
18,Debout les Belges,-,271,-,"2,27%",Grace-Hollogne
19,VLC,-,23,-,"0,19%",Grace-Hollogne
20,B.U.B.-BELG.UNIE,-,26,-,"0,22%",Grace-Hollogne
21,WALLONIE D'ABORD,-,181,-,"1,51%",Grace-Hollogne
22,PIRATE,-,67,-,"0,56%",Grace-Hollogne
23,FW,-,19,-,"0,16%",Grace-Hollogne
24,PP PARTIPENSIONNES,-,64,-,"0,54%",Grace-Hollogne
25,R.W.F.,-,28,-,"0,23%",Grace-Hollogne
26,CIM,-,5,-,"0,04%",Grace-Hollogne
27,ISLAM,-,105,-,"0,88%",Grace-Hollogne
0,ECOLO,699,415,"17,45%","10,76%",Braives
1,CDH,310,448,"7,74%","11,61%",Braives
2,MR,943,1.218,"23,55%","31,57%",Braives
3,PARTI POPULAIRE,119,136,"2,97%","3,53%",Braives
4,VLAAMS BELANG,26,-,"0,65%",-,Braives
5,DéFI,227,-,"5,67%",-,Braives
6,FDF,-,126,-,"3,27%",Braives
7,PTB,465,-,"11,61%",-,Braives
8,PTB-GO !,-,182,-,"4,72%",Braives
9,LISTES DESTEXHE,62,-,"1,55%",-,Braives
10,PS,902,1.137,"22,52%","29,47%",Braives
11,DierAnimal,85,-,"2,12%",-,Braives
12,LA DROITE,14,37,"0,35%","0,96%",Braives
13,LES BELGES D'ABORD,67,-,"1,67%",-,Braives
14,NATION,11,5,"0,27%","0,13%",Braives
15,WALLONIE INSOUMISE,24,-,"0,60%",-,Braives
16,Collectif Citoyen,51,-,"1,27%",-,Braives
17,MG,-,6,-,"0,16%",Braives
18,Debout les Belges,-,47,-,"1,22%",Braives
19,VLC,-,2,-,"0,05%",Braives
20,B.U.B.-BELG.UNIE,-,7,-,"0,18%",Braives
21,WALLONIE D'ABORD,-,32,-,"0,83%",Braives
22,PIRATE,-,25,-,"0,65%",Braives
23,FW,-,2,-,"0,05%",Braives
24,PP PARTIPENSIONNES,-,17,-,"0,44%",Braives
25,R.W.F.,-,11,-,"0,29%",Braives
26,CIM,-,2,-,"0,05%",Braives
27,ISLAM,-,3,-,"0,08%",Braives
0,ECOLO,1.374,750,"13,25%","7,42%",Hannut
1,CDH,987,1.217,"9,52%","12,04%",Hannut
2,MR,3.281,4.359,"31,63%","43,11%",Hannut
3,PARTI POPULAIRE,291,367,"2,81%","3,63%",Hannut
4,VLAAMS BELANG,70,-,"0,67%",-,Hannut
5,DéFI,457,-,"4,41%",-,Hannut
6,FDF,-,257,-,"2,54%",Hannut
7,PTB,1.193,-,"11,50%",-,Hannut
8,PTB-GO !,-,311,-,"3,08%",Hannut
9,LISTES DESTEXHE,165,-,"1,59%",-,Hannut
10,PS,2.019,2.377,"19,47%","23,51%",Hannut
11,DierAnimal,146,-,"1,41%",-,Hannut
12,LA DROITE,54,87,"0,52%","0,86%",Hannut
13,LES BELGES D'ABORD,134,-,"1,29%",-,Hannut
14,NATION,25,24,"0,24%","0,24%",Hannut
15,WALLONIE INSOUMISE,64,-,"0,62%",-,Hannut
16,Collectif Citoyen,112,-,"1,08%",-,Hannut
17,MG,-,2,-,"0,02%",Hannut
18,Debout les Belges,-,113,-,"1,12%",Hannut
19,VLC,-,8,-,"0,08%",Hannut
20,B.U.B.-BELG.UNIE,-,21,-,"0,21%",Hannut
21,WALLONIE D'ABORD,-,72,-,"0,71%",Hannut
22,PIRATE,-,52,-,"0,51%",Hannut
23,FW,-,7,-,"0,07%",Hannut
24,PP PARTIPENSIONNES,-,40,-,"0,40%",Hannut
25,R.W.F.,-,37,-,"0,37%",Hannut
26,CIM,-,3,-,"0,03%",Hannut
27,ISLAM,-,8,-,"0,08%",Hannut
0,ECOLO,214,128,"10,15%","6,05%",Lincent
1,CDH,181,283,"8,58%","13,38%",Lincent
2,MR,534,680,"25,32%","32,15%",Lincent
3,PARTI POPULAIRE,57,78,"2,70%","3,69%",Lincent
4,VLAAMS BELANG,22,-,"1,04%",-,Lincent
5,DéFI,87,-,"4,13%",-,Lincent
6,FDF,-,50,-,"2,36%",Lincent
7,PTB,287,-,"13,61%",-,Lincent
8,PTB-GO !,-,77,-,"3,64%",Lincent
9,LISTES DESTEXHE,47,-,"2,23%",-,Lincent
10,PS,565,699,"26,79%","33,05%",Lincent
11,DierAnimal,30,-,"1,42%",-,Lincent
12,LA DROITE,11,29,"0,52%","1,37%",Lincent
13,LES BELGES D'ABORD,31,-,"1,47%",-,Lincent
14,NATION,5,3,"0,24%","0,14%",Lincent
15,WALLONIE INSOUMISE,16,-,"0,76%",-,Lincent
16,Collectif Citoyen,22,-,"1,04%",-,Lincent
17,MG,-,5,-,"0,24%",Lincent
18,Debout les Belges,-,24,-,"1,13%",Lincent
19,VLC,-,4,-,"0,19%",Lincent
20,B.U.B.-BELG.UNIE,-,4,-,"0,19%",Lincent
21,WALLONIE D'ABORD,-,16,-,"0,76%",Lincent
22,PIRATE,-,15,-,"0,71%",Lincent
23,FW,-,0,-,"0,00%",Lincent
24,PP PARTIPENSIONNES,-,12,-,"0,57%",Lincent
25,R.W.F.,-,4,-,"0,19%",Lincent
26,CIM,-,1,-,"0,05%",Lincent
27,ISLAM,-,3,-,"0,14%",Lincent
0,ECOLO,297,173,"16,43%","9,91%",Wasseiges
1,CDH,137,176,"7,58%","10,08%",Wasseiges
2,MR,493,639,"27,27%","36,60%",Wasseiges
3,PARTI POPULAIRE,57,79,"3,15%","4,52%",Wasseiges
4,VLAAMS BELANG,11,-,"0,61%",-,Wasseiges
5,DéFI,68,-,"3,76%",-,Wasseiges
6,FDF,-,47,-,"2,69%",Wasseiges
7,PTB,233,-,"12,89%",-,Wasseiges
8,PTB-GO !,-,55,-,"3,15%",Wasseiges
9,LISTES DESTEXHE,27,-,"1,49%",-,Wasseiges
10,PS,380,475,"21,02%","27,21%",Wasseiges
11,DierAnimal,37,-,"2,05%",-,Wasseiges
12,LA DROITE,10,17,"0,55%","0,97%",Wasseiges
13,LES BELGES D'ABORD,29,-,"1,60%",-,Wasseiges
14,NATION,4,5,"0,22%","0,29%",Wasseiges
15,WALLONIE INSOUMISE,6,-,"0,33%",-,Wasseiges
16,Collectif Citoyen,19,-,"1,05%",-,Wasseiges
17,MG,-,0,-,"0,00%",Wasseiges
18,Debout les Belges,-,28,-,"1,60%",Wasseiges
19,VLC,-,3,-,"0,17%",Wasseiges
20,B.U.B.-BELG.UNIE,-,1,-,"0,06%",Wasseiges
21,WALLONIE D'ABORD,-,22,-,"1,26%",Wasseiges
22,PIRATE,-,9,-,"0,52%",Wasseiges
23,FW,-,1,-,"0,06%",Wasseiges
24,PP PARTIPENSIONNES,-,13,-,"0,74%",Wasseiges
25,R.W.F.,-,2,-,"0,11%",Wasseiges
26,CIM,-,0,-,"0,00%",Wasseiges
27,ISLAM,-,1,-,"0,06%",Wasseiges
0,ECOLO,397,215,"18,58%","10,84%",Burdinne
1,CDH,154,198,"7,21%","9,98%",Burdinne
2,MR,635,884,"29,71%","44,56%",Burdinne
3,PARTI POPULAIRE,51,53,"2,39%","2,67%",Burdinne
4,VLAAMS BELANG,5,-,"0,23%",-,Burdinne
5,DéFI,114,-,"5,33%",-,Burdinne
6,FDF,-,45,-,"2,27%",Burdinne
7,PTB,293,-,"13,71%",-,Burdinne
8,PTB-GO !,-,101,-,"5,09%",Burdinne
9,LISTES DESTEXHE,32,-,"1,50%",-,Burdinne
10,PS,338,393,"15,82%","19,81%",Burdinne
11,DierAnimal,26,-,"1,22%",-,Burdinne
12,LA DROITE,13,23,"0,61%","1,16%",Burdinne
13,LES BELGES D'ABORD,26,-,"1,22%",-,Burdinne
14,NATION,8,3,"0,37%","0,15%",Burdinne
15,WALLONIE INSOUMISE,14,-,"0,66%",-,Burdinne
16,Collectif Citoyen,31,-,"1,45%",-,Burdinne
17,MG,-,0,-,"0,00%",Burdinne
18,Debout les Belges,-,22,-,"1,11%",Burdinne
19,VLC,-,5,-,"0,25%",Burdinne
20,B.U.B.-BELG.UNIE,-,4,-,"0,20%",Burdinne
21,WALLONIE D'ABORD,-,12,-,"0,60%",Burdinne
22,PIRATE,-,8,-,"0,40%",Burdinne
23,FW,-,0,-,"0,00%",Burdinne
24,PP PARTIPENSIONNES,-,6,-,"0,30%",Burdinne
25,R.W.F.,-,9,-,"0,45%",Burdinne
26,CIM,-,2,-,"0,10%",Burdinne
27,ISLAM,-,1,-,"0,05%",Burdinne
0,ECOLO,569,312,"17,03%","9,74%",Heron
1,CDH,267,455,"7,99%","14,21%",Heron
2,MR,640,785,"19,16%","24,51%",Heron
3,PARTI POPULAIRE,85,143,"2,54%","4,46%",Heron
4,VLAAMS BELANG,16,-,"0,48%",-,Heron
5,DéFI,163,-,"4,88%",-,Heron
6,FDF,-,109,-,"3,40%",Heron
7,PTB,451,-,"13,50%",-,Heron
8,PTB-GO !,-,161,-,"5,03%",Heron
9,LISTES DESTEXHE,54,-,"1,62%",-,Heron
10,PS,849,1.048,"25,41%","32,72%",Heron
11,DierAnimal,55,-,"1,65%",-,Heron
12,LA DROITE,18,37,"0,54%","1,16%",Heron
13,LES BELGES D'ABORD,43,-,"1,29%",-,Heron
14,NATION,2,9,"0,06%","0,28%",Heron
15,WALLONIE INSOUMISE,17,-,"0,51%",-,Heron
16,Collectif Citoyen,112,-,"3,35%",-,Heron
17,MG,-,1,-,"0,03%",Heron
18,Debout les Belges,-,42,-,"1,31%",Heron
19,VLC,-,15,-,"0,47%",Heron
20,B.U.B.-BELG.UNIE,-,6,-,"0,19%",Heron
21,WALLONIE D'ABORD,-,36,-,"1,12%",Heron
22,PIRATE,-,29,-,"0,91%",Heron
23,FW,-,1,-,"0,03%",Heron
24,PP PARTIPENSIONNES,-,8,-,"0,25%",Heron
25,R.W.F.,-,3,-,"0,09%",Heron
26,CIM,-,1,-,"0,03%",Heron
27,ISLAM,-,2,-,"0,06%",Heron
0,ECOLO,1.653,1.057,"8,70%","5,42%",Herstal
1,CDH,740,1.632,"3,90%","8,36%",Herstal
2,MR,1.597,2.844,"8,41%","14,57%",Herstal
3,PARTI POPULAIRE,790,1.071,"4,16%","5,49%",Herstal
4,VLAAMS BELANG,99,-,"0,52%",-,Herstal
5,DéFI,514,-,"2,71%",-,Herstal
6,FDF,-,396,-,"2,03%",Herstal
7,PTB,5.232,-,"27,55%",-,Herstal
8,PTB-GO !,-,4.035,-,"20,67%",Herstal
9,LISTES DESTEXHE,240,-,"1,26%",-,Herstal
10,PS,7.195,6.727,"37,89%","34,47%",Herstal
11,DierAnimal,229,-,"1,21%",-,Herstal
12,LA DROITE,123,275,"0,65%","1,41%",Herstal
13,LES BELGES D'ABORD,305,-,"1,61%",-,Herstal
14,NATION,80,93,"0,42%","0,48%",Herstal
15,WALLONIE INSOUMISE,76,-,"0,40%",-,Herstal
16,Collectif Citoyen,118,-,"0,62%",-,Herstal
17,MG,-,34,-,"0,17%",Herstal
18,Debout les Belges,-,420,-,"2,15%",Herstal
19,VLC,-,41,-,"0,21%",Herstal
20,B.U.B.-BELG.UNIE,-,26,-,"0,13%",Herstal
21,WALLONIE D'ABORD,-,232,-,"1,19%",Herstal
22,PIRATE,-,136,-,"0,70%",Herstal
23,FW,-,25,-,"0,13%",Herstal
24,PP PARTIPENSIONNES,-,105,-,"0,54%",Herstal
25,R.W.F.,-,38,-,"0,19%",Herstal
26,CIM,-,14,-,"0,07%",Herstal
27,ISLAM,-,317,-,"1,62%",Herstal
0,Open Vld,2.298,2.344,"7,91%","8,17%",Beringen
1,N-VA,6.448,9.263,"22,19%","32,29%",Beringen
2,VLAAMS BELANG,6.090,2.742,"20,96%","9,56%",Beringen
3,CD&V,4.934,5.604,"16,98%","19,54%",Beringen
4,PVDA,1.789,-,"6,16%",-,Beringen
5,PVDA+,-,510,-,"1,78%",Beringen
6,GROEN,1.883,1.520,"6,48%","5,30%",Beringen
7,sp.a,5.007,6.377,"17,23%","22,23%",Beringen
8,PRO,78,-,"0,27%",-,Beringen
9,D-SA,532,-,"1,83%",-,Beringen
10,PIRATENPARTIJ,-,205,-,"0,71%",Beringen
11,R.O.S.S.E.M.,-,80,-,"0,28%",Beringen
12,B.U.B.-Belg.Unie,-,40,-,"0,14%",Beringen
0,Open Vld,588,754,"5,78%","7,47%",Leopoldsburg
1,N-VA,2.220,3.322,"21,83%","32,89%",Leopoldsburg
2,VLAAMS BELANG,2.512,825,"24,70%","8,17%",Leopoldsburg
3,CD&V,2.045,2.311,"20,11%","22,88%",Leopoldsburg
4,PVDA,695,-,"6,83%",-,Leopoldsburg
5,PVDA+,-,209,-,"2,07%",Leopoldsburg
6,GROEN,500,540,"4,92%","5,35%",Leopoldsburg
7,sp.a,1.506,2.014,"14,81%","19,94%",Leopoldsburg
8,PRO,28,-,"0,28%",-,Leopoldsburg
9,D-SA,75,-,"0,74%",-,Leopoldsburg
10,PIRATENPARTIJ,-,72,-,"0,71%",Leopoldsburg
11,R.O.S.S.E.M.,-,39,-,"0,39%",Leopoldsburg
12,B.U.B.-Belg.Unie,-,13,-,"0,13%",Leopoldsburg
0,Open Vld,844,793,"11,77%","11,14%",Ham
1,N-VA,1.625,2.478,"22,65%","34,80%",Ham
2,VLAAMS BELANG,1.886,558,"26,29%","7,84%",Ham
3,CD&V,1.043,1.641,"14,54%","23,04%",Ham
4,PVDA,517,-,"7,21%",-,Ham
5,PVDA+,-,155,-,"2,18%",Ham
6,GROEN,381,434,"5,31%","6,09%",Ham
7,sp.a,820,969,"11,43%","13,61%",Ham
8,PRO,36,-,"0,50%",-,Ham
9,D-SA,21,-,"0,29%",-,Ham
10,PIRATENPARTIJ,-,55,-,"0,77%",Ham
11,R.O.S.S.E.M.,-,27,-,"0,38%",Ham
12,B.U.B.-Belg.Unie,-,11,-,"0,15%",Ham
0,Open Vld,1.937,1.842,"9,22%","8,82%",Heusden-Zolder
1,N-VA,4.801,6.779,"22,86%","32,47%",Heusden-Zolder
2,VLAAMS BELANG,3.920,1.246,"18,66%","5,97%",Heusden-Zolder
3,CD&V,3.040,3.977,"14,47%","19,05%",Heusden-Zolder
4,PVDA,1.094,-,"5,21%",-,Heusden-Zolder
5,PVDA+,-,351,-,"1,68%",Heusden-Zolder
6,GROEN,1.783,1.339,"8,49%","6,41%",Heusden-Zolder
7,sp.a,3.965,5.123,"18,88%","24,54%",Heusden-Zolder
8,PRO,58,-,"0,28%",-,Heusden-Zolder
9,D-SA,408,-,"1,94%",-,Heusden-Zolder
10,PIRATENPARTIJ,-,127,-,"0,61%",Heusden-Zolder
11,R.O.S.S.E.M.,-,66,-,"0,32%",Heusden-Zolder
12,B.U.B.-Belg.Unie,-,27,-,"0,13%",Heusden-Zolder
0,Open Vld,1.218,1.308,"9,76%","10,44%",Tessenderlo
1,N-VA,3.317,4.292,"26,58%","34,27%",Tessenderlo
2,VLAAMS BELANG,2.963,922,"23,74%","7,36%",Tessenderlo
3,CD&V,1.723,2.542,"13,81%","20,30%",Tessenderlo
4,PVDA,696,-,"5,58%",-,Tessenderlo
5,PVDA+,-,239,-,"1,91%",Tessenderlo
6,GROEN,845,671,"6,77%","5,36%",Tessenderlo
7,sp.a,1.632,2.389,"13,08%","19,08%",Tessenderlo
8,PRO,37,-,"0,30%",-,Tessenderlo
9,D-SA,49,-,"0,39%",-,Tessenderlo
10,PIRATENPARTIJ,-,115,-,"0,92%",Tessenderlo
11,R.O.S.S.E.M.,-,34,-,"0,27%",Tessenderlo
12,B.U.B.-Belg.Unie,-,12,-,"0,10%",Tessenderlo
0,Open Vld,3.177,2.806,"14,72%","13,15%",Bilzen
1,N-VA,4.992,7.026,"23,13%","32,94%",Bilzen
2,VLAAMS BELANG,4.447,1.484,"20,61%","6,96%",Bilzen
3,CD&V,4.377,5.224,"20,28%","24,49%",Bilzen
4,PVDA,717,-,"3,32%",-,Bilzen
5,PVDA+,-,401,-,"1,88%",Bilzen
6,GROEN,1.395,1.064,"6,46%","4,99%",Bilzen
7,sp.a,2.401,3.124,"11,13%","14,64%",Bilzen
8,PRO,43,-,"0,20%",-,Bilzen
9,D-SA,30,-,"0,14%",-,Bilzen
10,PIRATENPARTIJ,-,144,-,"0,68%",Bilzen
11,R.O.S.S.E.M.,-,38,-,"0,18%",Bilzen
12,B.U.B.-Belg.Unie,-,21,-,"0,10%",Bilzen
0,Open Vld,950,929,"14,43%","14,08%",Hoeselt
1,N-VA,1.646,2.379,"25,00%","36,06%",Hoeselt
2,VLAAMS BELANG,1.442,419,"21,90%","6,35%",Hoeselt
3,CD&V,1.199,1.578,"18,21%","23,92%",Hoeselt
4,PVDA,268,-,"4,07%",-,Hoeselt
5,PVDA+,-,130,-,"1,97%",Hoeselt
6,GROEN,444,363,"6,74%","5,50%",Hoeselt
7,sp.a,604,728,"9,18%","11,04%",Hoeselt
8,PRO,20,-,"0,30%",-,Hoeselt
9,D-SA,10,-,"0,15%",-,Hoeselt
10,PIRATENPARTIJ,-,48,-,"0,73%",Hoeselt
11,R.O.S.S.E.M.,-,16,-,"0,24%",Hoeselt
12,B.U.B.-Belg.Unie,-,7,-,"0,11%",Hoeselt
0,Open Vld,758,870,"9,44%","10,54%",Bocholt
1,N-VA,1.964,2.814,"24,46%","34,10%",Bocholt
2,VLAAMS BELANG,1.891,473,"23,55%","5,73%",Bocholt
3,CD&V,1.986,2.438,"24,73%","29,54%",Bocholt
4,PVDA,315,-,"3,92%",-,Bocholt
5,PVDA+,-,125,-,"1,51%",Bocholt
6,GROEN,412,391,"5,13%","4,74%",Bocholt
7,sp.a,661,1.068,"8,23%","12,94%",Bocholt
8,PRO,33,-,"0,41%",-,Bocholt
9,D-SA,10,-,"0,12%",-,Bocholt
10,PIRATENPARTIJ,-,50,-,"0,61%",Bocholt
11,R.O.S.S.E.M.,-,19,-,"0,23%",Bocholt
12,B.U.B.-Belg.Unie,-,5,-,"0,06%",Bocholt
0,Open Vld,1.655,1.854,"15,91%","17,59%",Bree
1,N-VA,2.576,3.555,"24,76%","33,74%",Bree
2,VLAAMS BELANG,2.173,679,"20,88%","6,44%",Bree
3,CD&V,2.189,2.714,"21,04%","25,75%",Bree
4,PVDA,443,-,"4,26%",-,Bree
5,PVDA+,-,160,-,"1,52%",Bree
6,GROEN,579,528,"5,56%","5,01%",Bree
7,sp.a,736,954,"7,07%","9,05%",Bree
8,PRO,40,-,"0,38%",-,Bree
9,D-SA,14,-,"0,13%",-,Bree
10,PIRATENPARTIJ,-,54,-,"0,51%",Bree
